detector,n_states,ventana_eval,oos_start,oos_end,n_oos,false_alarm_rate,switching_rate,mean_regime_duration,label_stability,silhouette,log_likelihood,aic,bic,cov_GFC_2008,cov_GFC_2008_lo,cov_GFC_2008_hi,cov_EuroDebt_2011,cov_EuroDebt_2011_lo,cov_EuroDebt_2011_hi,cov_COVID_2020,cov_COVID_2020_lo,cov_COVID_2020_hi,cov_Inflation_2022,cov_Inflation_2022_lo,cov_Inflation_2022_hi,fa_TaperTantrum_2013,fa_Selloff_Q4_2018,leadlag_GFC_2008,leadlag_EuroDebt_2011,leadlag_COVID_2020,leadlag_Inflation_2022
deep_ae_regime,3,2015-09-15→2026-06-12 (n=2649),2015-09-15,2026-06-12,2649,0.6033057851239669,0.2872782181955455,3.4763779527559056,0.9644746787603931,0.17641978711077094,,,,,,,,,,0.54,0.4,0.72,0.10096153846153846,0.05264423076923078,0.14903846153846154,,0.15254237288135594,,,-4.0,
pca_gmm_baseline,3,2015-09-15→2026-06-12 (n=2649),2015-09-15,2026-06-12,2649,0.13513513513513514,0.09135522838807097,10.901234567901234,0.9969765684051398,0.23467759382310485,,,,,,,,,,0.62,0.4295,0.9,0.004807692307692308,0.0,0.014423076923076924,,0.0,,,-12.0,
